cx,cy,n,v
514.00,112.00,13.00,530.33
514.00,112.00,14.00,1250.00
512.00,113.00,15.00,883.88
513.00,113.00,16.00,976.28
512.00,114.00,17.00,530.33
512.00,114.00,18.00,707.11
511.00,113.00,19.00,1328.77
511.00,113.00,20.00,1250.00
511.00,113.00,21.00,883.88
510.00,116.00,23.00,530.33
510.00,115.00,24.00,1152.44
508.00,114.00,25.00,2034.85
508.00,113.00,26.00,2304.89
510.00,114.00,27.00,800.39
509.00,117.00,30.00,976.28
508.00,116.00,31.00,1590.99
507.00,115.00,32.00,2298.10
507.00,115.00,33.00,2298.10
509.00,118.00,34.00,1250.00
510.00,118.00,35.00,800.39
509.00,119.00,36.00,883.88
508.00,122.00,40.00,530.33
504.00,118.00,41.00,3186.89
503.00,115.00,42.00,3377.31
503.00,115.00,43.00,3186.89
504.00,119.00,44.00,2304.89
503.00,122.00,45.00,1858.26
503.00,121.00,46.00,2474.87
502.00,117.00,47.00,3186.89
504.00,114.00,48.00,4100.30
518.00,130.00,49.00,176.78
495.00,107.00,49.00,176.78
506.00,122.00,49.00,4823.45
520.00,115.00,50.00,279.51
491.00,109.00,50.00,176.78
493.00,123.00,51.00,279.51
491.00,119.00,54.00,279.51
528.00,156.00,55.00,530.33
559.00,135.00,55.00,353.55
560.00,128.00,55.00,707.11
562.00,123.00,55.00,559.02
553.00,111.00,55.00,353.55
562.00,113.00,55.00,1820.03
561.00,97.00,55.00,353.55
525.00,156.00,56.00,2325.13
545.00,125.00,56.00,353.55
519.00,63.00,56.00,176.78
524.00,157.00,57.00,2253.47
564.00,131.00,57.00,279.51
567.00,124.00,57.00,559.02
564.00,93.00,57.00,176.78
555.00,93.00,57.00,176.78
487.00,79.00,57.00,353.55
524.00,168.00,58.00,530.33
483.00,88.00,59.00,625.00
534.00,142.00,59.00,800.39
544.00,95.00,61.00,2564.79
535.00,138.00,63.00,1976.42
576.00,71.00,64.00,2128.67
588.00,54.00,64.00,2833.95
532.00,168.00,65.00,838.53
540.00,110.00,65.00,530.33
556.00,109.00,65.00,530.33
547.00,128.00,65.00,5869.68
550.00,134.00,66.00,6350.44
553.00,92.00,66.00,707.11
546.00,174.00,67.00,4339.14
571.00,142.00,67.00,707.11
560.00,189.00,68.00,1776.58
485.00,141.00,69.00,1505.20
494.00,129.00,71.00,707.11
617.00,87.00,72.00,3363.41
566.00,243.00,73.00,1525.82
486.00,167.00,73.00,2388.12
477.00,109.00,73.00,3475.36
585.00,103.00,73.00,1237.44
489.00,101.00,73.00,625.00
483.00,96.00,73.00,976.28
395.00,199.00,74.00,883.88
388.00,188.00,74.00,4031.13
462.00,102.00,74.00,976.28
475.00,99.00,74.00,2225.56
480.00,155.00,74.00,1352.08
493.00,105.00,74.00,530.33
609.00,79.00,74.00,4081.21
388.00,54.00,74.00,3010.40
508.00,221.00,75.00,1940.52
594.00,36.00,75.00,4978.08
447.00,210.00,76.00,1152.44
483.00,192.00,76.00,2150.58
418.00,200.00,76.00,4100.30
492.00,174.00,76.00,2675.12
362.00,144.00,76.00,3201.56
