cx,cy,n,v
576.00,199.00,1.00,1875.00
636.00,236.00,2.00,1767.77
581.00,189.00,2.00,2388.12
581.00,185.00,2.00,838.53
650.00,172.00,2.00,1525.82
595.00,210.00,2.00,530.33
605.00,142.00,2.00,2388.12
592.00,131.00,2.00,2576.94
609.00,114.00,2.00,625.00
556.00,237.00,3.00,2298.10
556.00,235.00,3.00,901.39
634.00,225.00,3.00,530.33
626.00,228.00,3.00,1944.54
671.00,168.00,3.00,800.39
675.00,172.00,3.00,2601.08
586.00,156.00,3.00,2121.32
591.00,205.00,4.00,530.33
604.00,169.00,4.00,1152.44
597.00,228.00,5.00,883.88
577.00,217.00,5.00,1457.74
641.00,195.00,5.00,2034.85
660.00,184.00,5.00,976.28
590.00,172.00,5.00,800.39
605.00,253.00,6.00,2675.12
668.00,243.00,6.00,530.33
603.00,229.00,6.00,1425.22
714.00,296.00,7.00,1328.77
728.00,268.00,7.00,800.39
696.00,267.00,7.00,1875.00
703.00,226.00,7.00,1908.04
565.00,197.00,7.00,530.33
536.00,153.00,7.00,4155.19
604.00,144.00,7.00,2481.18
740.00,237.00,8.00,4422.95
696.00,263.00,9.00,4786.05
602.00,251.00,9.00,707.11
677.00,205.00,9.00,530.33
657.00,200.00,9.00,1600.78
655.00,182.00,9.00,2401.17
637.00,205.00,9.00,625.00
562.00,181.00,9.00,2752.84
559.00,177.00,9.00,530.33
612.00,173.00,9.00,1152.44
700.00,161.00,9.00,1075.29
609.00,156.00,9.00,2500.00
756.00,136.00,9.00,1700.18
569.00,121.00,9.00,1286.95
590.00,229.00,10.00,800.39
694.00,218.00,10.00,4177.69
640.00,188.00,10.00,530.33
649.00,181.00,10.00,1505.20
590.00,159.00,10.00,1425.22
731.00,145.00,10.00,3186.89
646.00,227.00,11.00,707.11
680.00,169.00,11.00,4609.77
682.00,160.00,11.00,625.00
554.00,199.00,12.00,1600.78
657.00,188.00,12.00,4900.57
603.00,171.00,12.00,530.33
598.00,170.00,12.00,1457.74
625.00,165.00,12.00,1858.26
719.00,148.00,12.00,4596.19
577.00,130.00,12.00,4192.63
603.00,229.00,13.00,883.88
648.00,192.00,13.00,2388.12
692.00,152.00,13.00,2128.67
558.00,82.00,13.00,4201.93
667.00,231.00,14.00,2050.15
628.00,218.00,14.00,530.33
663.00,170.00,14.00,530.33
664.00,169.00,14.00,530.33
703.00,156.00,14.00,2877.72
623.00,229.00,15.00,883.88
645.00,160.00,15.00,2850.44
609.00,143.00,15.00,5255.95
563.00,274.00,16.00,3633.61
608.00,250.00,16.00,3259.60
607.00,160.00,16.00,728.87
582.00,86.00,16.00,2427.06
534.00,303.00,17.00,4451.12
601.00,264.00,17.00,1179.25
607.00,235.00,17.00,530.33
566.00,169.00,17.00,883.88
580.00,169.00,17.00,1944.54
643.00,255.00,18.00,1075.29
565.00,227.00,18.00,625.00
551.00,210.00,18.00,4952.90
549.00,211.00,18.00,728.87
687.00,192.00,18.00,1908.04
564.00,180.00,18.00,800.39
585.00,178.00,18.00,530.33
505.00,263.00,19.00,976.28
574.00,226.00,19.00,800.39
663.00,211.00,19.00,3539.95
636.00,155.00,19.00,1328.77
642.00,299.00,20.00,1152.44
621.00,264.00,20.00,2950.11
594.00,265.00,20.00,5482.93
621.00,245.00,20.00,1397.54
545.00,244.00,20.00,3779.05
440.00,224.00,20.00,3575.09
576.00,195.00,20.00,3271.56
676.00,169.00,20.00,3377.31
559.00,153.00,20.00,2401.17
491.00,149.00,20.00,2121.32
582.00,125.00,20.00,1944.54
412.00,246.00,21.00,1328.77
573.00,200.00,21.00,530.33
597.00,231.00,21.00,530.33
632.00,174.00,21.00,3051.64
544.00,185.00,22.00,3186.89
627.00,288.00,23.00,3575.09
509.00,269.00,23.00,3475.36
600.00,249.00,23.00,3475.36
539.00,245.00,23.00,2850.44
642.00,224.00,23.00,1590.99
634.00,220.00,23.00,800.39
622.00,230.00,23.00,1425.22
610.00,225.00,23.00,728.87
526.00,169.00,23.00,3710.21
531.00,142.00,23.00,2050.15
512.00,127.00,23.00,1328.77
630.00,128.00,23.00,2950.11
520.00,115.00,23.00,530.33
517.00,103.00,23.00,2298.10
592.00,72.00,23.00,5415.54
660.00,311.00,24.00,3475.36
569.00,314.00,24.00,4716.99
682.00,259.00,24.00,2481.18
544.00,216.00,24.00,3201.56
654.00,166.00,24.00,3125.00
569.00,127.00,24.00,1681.70
637.00,246.00,25.00,3186.89
666.00,238.00,25.00,1802.78
521.00,221.00,25.00,3625.00
649.00,258.00,26.00,1681.70
502.00,230.00,26.00,3809.94
635.00,158.00,26.00,800.39
646.00,159.00,26.00,3575.09
480.00,219.00,27.00,2564.79
483.00,217.00,27.00,530.33
