cx,cy,n,v
536.00,295.00,7.00,901.39
534.00,295.00,8.00,1007.78
533.00,295.00,9.00,976.28
533.00,295.00,10.00,625.00
532.00,295.00,11.00,1352.08
531.00,294.00,12.00,1700.18
530.00,291.00,13.00,2388.12
529.00,289.00,14.00,3010.40
528.00,288.00,15.00,3010.40
528.00,287.00,16.00,3010.40
528.00,289.00,17.00,2828.43
528.00,290.00,18.00,2828.43
528.00,291.00,19.00,2657.54
528.00,293.00,20.00,2304.89
528.00,294.00,21.00,2150.58
529.00,296.00,22.00,838.53
529.00,297.00,23.00,625.00
529.00,295.00,24.00,1075.29
529.00,292.00,25.00,2211.48
529.00,291.00,26.00,2474.87
529.00,290.00,27.00,2564.79
529.00,291.00,28.00,2564.79
529.00,291.00,29.00,2651.65
528.00,290.00,30.00,3005.20
529.00,289.00,31.00,3457.33
528.00,289.00,32.00,3457.33
527.00,290.00,33.00,3281.10
527.00,290.00,34.00,3186.89
528.00,291.00,35.00,3010.40
528.00,291.00,36.00,3094.85
529.00,293.00,37.00,2388.12
529.00,294.00,38.00,2304.89
529.00,294.00,39.00,2225.56
530.00,294.00,40.00,1944.54
530.00,296.00,41.00,1414.21
529.00,294.00,42.00,1944.54
528.00,293.00,43.00,2298.10
527.00,293.00,44.00,2481.18
526.00,293.00,45.00,2741.46
526.00,293.00,46.00,2741.46
526.00,294.00,47.00,2741.46
527.00,295.00,48.00,2741.46
527.00,295.00,49.00,3005.20
527.00,296.00,50.00,3676.36
527.00,311.00,51.00,353.55
528.00,296.00,51.00,4081.21
528.00,294.00,52.00,4577.46
530.00,296.00,54.00,4451.12
542.00,303.00,56.00,279.51
533.00,310.00,59.00,530.33
507.00,267.00,65.00,176.78
556.00,283.00,68.00,530.33
542.00,244.00,69.00,4160.83
465.00,270.00,70.00,2427.06
460.00,279.00,73.00,2752.84
514.00,211.00,73.00,4250.00
568.00,290.00,75.00,2915.48
548.00,342.00,76.00,2500.00
569.00,292.00,76.00,3051.64
565.00,280.00,76.00,901.39
572.00,291.00,77.00,3051.64
576.00,290.00,78.00,2981.72
505.00,339.00,79.00,1629.80
509.00,321.00,79.00,728.87
507.00,319.00,80.00,1118.03
572.00,318.00,80.00,1328.77
577.00,309.00,80.00,530.33
557.00,307.00,81.00,1845.60
555.00,255.00,81.00,530.33
530.00,259.00,81.00,2576.94
548.00,237.00,81.00,3432.38
483.00,337.00,82.00,3186.89
421.00,325.00,82.00,1700.18
570.00,302.00,82.00,976.28
483.00,308.00,82.00,5304.77
590.00,295.00,82.00,530.33
594.00,293.00,82.00,530.33
569.00,285.00,82.00,530.33
510.00,336.00,85.00,530.33
497.00,321.00,85.00,2225.56
544.00,200.00,86.00,951.97
572.00,304.00,87.00,1976.42
503.00,191.00,87.00,5031.15
523.00,208.00,88.00,2651.65
599.00,310.00,93.00,1600.78
569.00,270.00,93.00,976.28
556.00,261.00,93.00,2657.54
592.00,249.00,93.00,901.39
465.00,284.00,95.00,2050.15
518.00,228.00,96.00,1700.18
538.00,384.00,98.00,2918.15
568.00,334.00,98.00,1250.00
573.00,324.00,98.00,625.00
502.00,332.00,98.00,1060.66
382.00,444.00,99.00,5315.07
458.00,366.00,99.00,2050.15
547.00,371.00,99.00,3134.98
510.00,362.00,99.00,2304.89
596.00,368.00,99.00,7281.18
593.00,327.00,99.00,728.87
487.00,313.00,99.00,707.11
617.00,309.00,99.00,1457.74
633.00,244.00,99.00,707.11
575.00,270.00,99.00,625.00
576.00,268.00,99.00,625.00
544.00,252.00,99.00,883.88
418.00,214.00,99.00,5038.91
565.00,418.00,100.00,4716.99
467.00,352.00,100.00,2833.95
621.00,299.00,100.00,3826.31
490.00,273.00,100.00,4200.07
489.00,240.00,100.00,1075.29
541.00,252.00,100.00,1075.29
565.00,227.00,100.00,530.33
563.00,226.00,100.00,530.33
620.00,168.00,100.00,3186.89
661.00,166.00,100.00,5315.07
592.00,92.00,100.00,3400.37
573.00,448.00,101.00,1250.00
487.00,287.00,101.00,625.00
604.00,294.00,101.00,3271.56
494.00,252.00,101.00,1060.66
607.00,229.00,101.00,3186.89
521.00,211.00,101.00,530.33
528.00,211.00,101.00,1590.99
575.00,274.00,101.00,3850.73
565.00,241.00,101.00,1118.03
586.00,195.00,101.00,3750.00
579.00,327.00,102.00,838.53
502.00,275.00,102.00,1700.18
530.00,183.00,102.00,4716.99
494.00,345.00,103.00,2833.95
444.00,322.00,104.00,2918.15
554.00,338.00,104.00,530.33
519.00,232.00,104.00,4751.64
467.00,329.00,105.00,1457.74
525.00,251.00,105.00,2225.56
599.00,254.00,105.00,4422.95
609.00,347.00,106.00,3259.60
619.00,347.00,107.00,4685.42
474.00,305.00,107.00,3377.31
474.00,308.00,107.00,530.33
475.00,307.00,107.00,530.33
476.00,293.00,107.00,530.33
508.00,276.00,107.00,1118.03
652.00,366.00,108.00,4776.24
507.00,272.00,108.00,625.00
503.00,269.00,108.00,1237.44
509.00,226.00,108.00,4725.26
517.00,211.00,108.00,530.33
477.00,327.00,109.00,707.11
454.00,282.00,109.00,2651.65
587.00,313.00,109.00,530.33
590.00,312.00,109.00,625.00
581.00,281.00,112.00,2225.56
577.00,266.00,112.00,2576.94
549.00,140.00,112.00,2474.87
573.00,347.00,113.00,530.33
441.00,269.00,113.00,1179.25
465.00,241.00,113.00,2128.67
593.00,241.00,113.00,4275.66
580.00,273.00,114.00,4802.34
461.00,257.00,114.00,976.28
565.00,322.00,114.00,530.33
566.00,321.00,114.00,530.33
569.00,320.00,114.00,728.87
554.00,280.00,114.00,625.00
576.00,350.00,115.00,4422.95
454.00,305.00,115.00,800.39
598.00,267.00,115.00,2080.41
480.00,274.00,115.00,4246.32
452.00,323.00,116.00,4339.14
459.00,316.00,116.00,530.33
461.00,272.00,116.00,1152.44
559.00,249.00,116.00,530.33
546.00,250.00,116.00,728.87
567.00,368.00,117.00,3502.23
445.00,343.00,117.00,2128.67
406.00,344.00,117.00,4705.38
479.00,319.00,117.00,3553.17
479.00,279.00,117.00,4069.71
598.00,305.00,117.00,530.33
578.00,297.00,117.00,707.11
584.00,292.00,117.00,530.33
565.00,391.00,118.00,3750.00
583.00,372.00,118.00,4275.66
559.00,354.00,118.00,1237.44
500.00,348.00,118.00,3358.76
464.00,341.00,118.00,1629.80
633.00,319.00,118.00,5385.16
486.00,274.00,118.00,800.39
500.00,225.00,118.00,4056.25
476.00,369.00,119.00,4626.69
492.00,349.00,119.00,2401.17
491.00,304.00,119.00,838.53
505.00,283.00,119.00,883.88
510.00,226.00,119.00,2752.84
485.00,202.00,119.00,4301.16
488.00,291.00,120.00,2325.13
499.00,271.00,120.00,2080.41
559.00,268.00,120.00,625.00
558.00,266.00,120.00,707.11
439.00,232.00,120.00,5306.25
473.00,187.00,120.00,4177.69
441.00,346.00,121.00,2741.46
563.00,235.00,121.00,2828.43
600.00,221.00,121.00,1776.58
463.00,179.00,121.00,4177.69
481.00,436.00,122.00,530.33
482.00,435.00,122.00,530.33
609.00,377.00,122.00,3186.89
476.00,366.00,122.00,2325.13
611.00,340.00,122.00,2080.41
442.00,320.00,122.00,4339.14
487.00,348.00,122.00,530.33
477.00,334.00,122.00,1346.29
481.00,332.00,122.00,530.33
576.00,313.00,122.00,625.00
457.00,178.00,122.00,4100.30
586.00,357.00,123.00,4451.12
604.00,333.00,123.00,4599.59
470.00,289.00,123.00,4246.32
486.00,264.00,123.00,4025.31
489.00,332.00,123.00,530.33
567.00,326.00,123.00,530.33
514.00,198.00,123.00,3010.40
598.00,377.00,124.00,4550.07
428.00,347.00,124.00,4515.60
600.00,310.00,124.00,1629.80
514.00,250.00,124.00,2388.12
542.00,241.00,124.00,530.33
558.00,211.00,124.00,4301.16
562.00,193.00,124.00,530.33
567.00,172.00,124.00,5020.27
453.00,163.00,124.00,4025.31
410.00,395.00,125.00,4544.91
484.00,358.00,125.00,1152.44
582.00,361.00,125.00,2918.15
417.00,363.00,125.00,4266.51
725.00,343.00,125.00,901.39
651.00,331.00,125.00,1118.03
699.00,332.00,125.00,2465.39
603.00,317.00,125.00,4257.35
594.00,282.00,125.00,4529.42
498.00,252.00,125.00,2150.58
449.00,160.00,125.00,530.33
573.00,110.00,125.00,707.11
566.00,108.00,125.00,1677.05
618.00,426.00,126.00,4680.41
787.00,340.00,126.00,5000.00
709.00,302.00,126.00,1118.03
585.00,284.00,126.00,3186.89
553.00,269.00,126.00,976.28
614.00,260.00,126.00,4100.30
578.00,246.00,126.00,3300.09
715.00,298.00,127.00,4515.60
497.00,240.00,127.00,2741.46
501.00,230.00,127.00,530.33
644.00,461.00,128.00,3377.31
664.00,599.00,129.00,800.39
560.00,254.00,129.00,1629.80
524.00,213.00,129.00,1505.20
531.00,212.00,129.00,1179.25
517.00,376.00,130.00,4373.21
585.00,354.00,130.00,3502.23
503.00,345.00,130.00,1414.21
598.00,301.00,130.00,2576.94
600.00,286.00,130.00,530.33
615.00,274.00,130.00,3448.28
595.00,266.00,130.00,4200.07
483.00,213.00,130.00,3400.37
479.00,182.00,130.00,2080.41
531.00,151.00,130.00,530.33
516.00,403.00,131.00,3710.21
495.00,353.00,131.00,1875.00
657.00,304.00,131.00,625.00
668.00,302.00,131.00,2253.47
655.00,287.00,131.00,1179.25
608.00,285.00,131.00,1952.56
494.00,282.00,131.00,1060.66
582.00,323.00,131.00,1505.20
578.00,316.00,131.00,530.33
646.00,189.00,131.00,7027.85
465.00,139.00,131.00,2828.43
515.00,432.00,132.00,2651.65
666.00,395.00,132.00,5318.01
426.00,365.00,132.00,2388.12
613.00,365.00,132.00,4868.59
370.00,359.00,132.00,5273.76
463.00,311.00,132.00,1346.29
422.00,291.00,132.00,4808.85
608.00,248.00,132.00,3905.12
577.00,298.00,132.00,530.33
493.00,290.00,132.00,530.33
524.00,262.00,132.00,530.33
526.00,259.00,132.00,1075.29
558.00,234.00,132.00,1007.78
558.00,227.00,132.00,625.00
525.00,185.00,132.00,1179.25
551.00,180.00,132.00,3605.55
633.00,172.00,132.00,4550.07
536.00,130.00,132.00,3860.86
491.00,351.00,133.00,530.33
491.00,340.00,133.00,530.33
493.00,339.00,133.00,625.00
488.00,324.00,133.00,530.33
483.00,290.00,133.00,530.33
546.00,167.00,133.00,530.33
591.00,332.00,134.00,2015.56
573.00,243.00,134.00,625.00
574.00,227.00,134.00,3377.31
565.00,112.00,134.00,4751.64
534.00,204.00,135.00,5273.76
660.00,358.00,136.00,3729.11
559.00,271.00,136.00,530.33
513.00,248.00,136.00,4100.30
534.00,238.00,136.00,2657.54
547.00,217.00,136.00,1179.25
604.00,311.00,137.00,1118.03
499.00,281.00,137.00,2657.54
582.00,273.00,139.00,1007.78
569.00,272.00,140.00,1952.56
561.00,372.00,141.00,1075.29
577.00,333.00,142.00,800.39
483.00,326.00,142.00,3400.37
591.00,272.00,142.00,4433.54
506.00,248.00,142.00,530.33
505.00,244.00,142.00,530.33
429.00,227.00,142.00,1060.66
499.00,302.00,144.00,530.33
495.00,294.00,144.00,530.33
555.00,171.00,145.00,3475.36
491.00,395.00,146.00,5175.06
497.00,384.00,146.00,625.00
491.00,366.00,146.00,530.33
496.00,363.00,146.00,707.11
466.00,333.00,146.00,2474.87
