cx,cy,n,v
581.00,249.00,99.00,353.55
585.00,248.00,99.00,559.02
563.00,277.00,100.00,3581.64
583.00,261.00,100.00,790.57
563.00,283.00,103.00,800.39
589.00,264.00,104.00,559.02
524.00,257.00,104.00,625.00
589.00,254.00,104.00,559.02
551.00,231.00,104.00,279.51
589.00,254.00,105.00,559.02
541.00,241.00,106.00,279.51
583.00,249.00,107.00,353.55
530.00,278.00,108.00,530.33
541.00,285.00,108.00,530.33
527.00,251.00,109.00,279.51
535.00,246.00,109.00,625.00
536.00,244.00,109.00,530.33
584.00,231.00,111.00,279.51
523.00,269.00,113.00,625.00
526.00,248.00,113.00,530.33
564.00,293.00,119.00,1328.77
571.00,283.00,119.00,1700.18
713.00,294.00,121.00,2515.58
565.00,323.00,122.00,2704.16
552.00,300.00,122.00,625.00
556.00,298.00,122.00,530.33
610.00,259.00,128.00,901.39
620.00,234.00,128.00,530.33
624.00,232.00,128.00,530.33
603.00,222.00,128.00,530.33
574.00,297.00,128.00,728.87
570.00,192.00,128.00,530.33
624.00,338.00,129.00,2636.88
601.00,334.00,129.00,530.33
599.00,338.00,129.00,2358.50
614.00,309.00,129.00,3816.08
574.00,301.00,129.00,2627.97
594.00,295.00,129.00,976.28
479.00,226.00,129.00,3693.32
624.00,208.00,129.00,3466.36
611.00,202.00,129.00,530.33
613.00,363.00,130.00,530.33
653.00,274.00,130.00,4056.25
641.00,260.00,130.00,800.39
586.00,262.00,130.00,530.33
598.00,83.00,130.00,3087.27
615.00,72.00,130.00,3502.23
616.00,62.00,130.00,530.33
629.00,58.00,130.00,1118.03
562.00,138.00,132.00,838.53
543.00,125.00,132.00,1152.44
617.00,238.00,134.00,883.88
678.00,169.00,145.00,1179.25
482.00,220.00,155.00,707.11
536.00,151.00,155.00,625.00
540.00,148.00,155.00,530.33
521.00,150.00,155.00,1858.26
483.00,247.00,157.00,1250.00
495.00,285.00,158.00,1068.00
644.00,306.00,159.00,1566.25
599.00,195.00,159.00,3650.77
673.00,197.00,160.00,3225.87
495.00,307.00,162.00,530.33
557.00,309.00,163.00,530.33
625.00,224.00,164.00,625.00
494.00,198.00,164.00,625.00
487.00,271.00,166.00,530.33
479.00,292.00,167.00,1700.18
608.00,256.00,168.00,530.33
705.00,121.00,168.00,2136.00
594.00,231.00,169.00,530.33
596.00,301.00,170.00,1510.38
610.00,263.00,170.00,901.39
630.00,264.00,177.00,707.11
661.00,258.00,178.00,1741.05
675.00,246.00,178.00,2404.42
664.00,240.00,178.00,530.33
488.00,273.00,180.00,1629.80
506.00,274.00,180.00,530.33
646.00,284.00,184.00,1625.00
499.00,325.00,192.00,800.39
535.00,342.00,193.00,6550.29
509.00,240.00,193.00,530.33
504.00,288.00,193.00,530.33
487.00,227.00,193.00,1118.03
474.00,213.00,193.00,1590.99
529.00,193.00,193.00,883.88
512.00,203.00,193.00,5751.36
534.00,184.00,193.00,1286.95
497.00,264.00,196.00,2125.00
504.00,302.00,199.00,901.39
492.00,301.00,202.00,1463.09
528.00,240.00,202.00,530.33
633.00,356.00,206.00,2465.39
553.00,375.00,207.00,728.87
493.00,343.00,207.00,2564.79
499.00,333.00,207.00,530.33
568.00,321.00,207.00,625.00
581.00,302.00,207.00,625.00
652.00,317.00,208.00,1463.09
651.00,295.00,208.00,2692.58
484.00,266.00,208.00,1700.18
536.00,310.00,208.00,625.00
470.00,315.00,210.00,3400.37
570.00,300.00,210.00,530.33
455.00,324.00,211.00,4802.34
455.00,326.00,211.00,530.33
455.00,320.00,212.00,530.33
451.00,306.00,212.00,1060.66
421.00,309.00,212.00,3365.73
420.00,326.00,213.00,3801.73
429.00,324.00,213.00,530.33
430.00,323.00,213.00,625.00
575.00,203.00,213.00,530.33
568.00,201.00,213.00,530.33
628.00,192.00,213.00,883.88
489.00,205.00,215.00,1068.00
481.00,204.00,215.00,728.87
743.00,201.00,215.00,728.87
544.00,356.00,216.00,901.39
424.00,349.00,216.00,2121.32
417.00,325.00,216.00,4626.69
439.00,293.00,216.00,4126.89
713.00,277.00,216.00,625.00
458.00,273.00,216.00,625.00
458.00,261.00,216.00,625.00
658.00,240.00,216.00,4310.23
718.00,227.00,216.00,1179.25
662.00,403.00,217.00,1505.20
389.00,377.00,217.00,2121.32
603.00,309.00,217.00,1457.74
495.00,300.00,217.00,1581.14
654.00,254.00,217.00,3365.73
617.00,199.00,217.00,1590.99
374.00,390.00,218.00,951.97
629.00,295.00,218.00,4889.40
680.00,216.00,218.00,2636.88
588.00,276.00,218.00,625.00
622.00,221.00,218.00,901.39
616.00,199.00,218.00,625.00
595.00,184.00,218.00,901.39
622.00,210.00,219.00,5131.09
489.00,278.00,220.00,1736.56
612.00,213.00,221.00,1802.78
496.00,289.00,221.00,530.33
498.00,205.00,222.00,625.00
503.00,192.00,222.00,2465.39
512.00,179.00,223.00,530.33
515.00,178.00,223.00,530.33
521.00,177.00,223.00,1463.09
331.00,310.00,224.00,1858.26
474.00,260.00,224.00,1118.03
435.00,243.00,224.00,3710.21
594.00,307.00,225.00,2348.54
132.00,300.00,225.00,530.33
441.00,336.00,227.00,800.39
443.00,316.00,227.00,4685.42
438.00,164.00,227.00,2034.85
508.00,324.00,228.00,2211.48
480.00,345.00,229.00,530.33
490.00,340.00,229.00,2833.95
470.00,359.00,230.00,4900.57
455.00,377.00,231.00,530.33
467.00,375.00,231.00,625.00
435.00,353.00,231.00,1566.25
501.00,303.00,231.00,1858.26
425.00,382.00,232.00,2576.94
508.00,325.00,232.00,530.33
434.00,387.00,233.00,530.33
486.00,356.00,234.00,1118.03
528.00,324.00,235.00,800.39
587.00,427.00,236.00,1007.78
490.00,413.00,236.00,838.53
576.00,392.00,236.00,2050.15
580.00,383.00,236.00,530.33
640.00,259.00,236.00,800.39
621.00,259.00,236.00,3281.10
598.00,250.00,236.00,2211.48
594.00,346.00,237.00,530.33
634.00,246.00,237.00,3970.60
559.00,196.00,237.00,800.39
615.00,366.00,238.00,1600.78
511.00,223.00,238.00,3691.21
570.00,206.00,239.00,1952.56
501.00,396.00,244.00,625.00
536.00,334.00,244.00,3537.74
566.00,308.00,246.00,530.33
570.00,304.00,246.00,530.33
571.00,302.00,246.00,530.33
572.00,299.00,246.00,530.33
576.00,326.00,251.00,2325.13
495.00,313.00,251.00,1741.05
